hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,booking_changes,deposit_type,agent,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,has_agent,has_company,arrival_date,total_nights,total_guests,is_family,adr_per_person,lead_time_group,cancel_history_ratio,season,arrival_weekday,is_domestic
Resort Hotel,0,342,2015,7,27,1,0,0,2,0,0,BB,PRT,Direct,Direct,0,0,0,C,3,No Deposit,NoAgent,0,Transient,0.0,0,0,0,0,2015-07-01,0,2,0,0.0,181-365,0.0,Summer,2,1
Resort Hotel,0,737,2015,7,27,1,0,0,2,0,0,BB,PRT,Direct,Direct,0,0,0,C,4,No Deposit,NoAgent,0,Transient,0.0,0,0,0,0,2015-07-01,0,2,0,0.0,365+,0.0,Summer,2,1
Resort Hotel,0,7,2015,7,27,1,0,1,1,0,0,BB,GBR,Direct,Direct,0,0,0,A,0,No Deposit,NoAgent,0,Transient,75.0,0,0,0,0,2015-07-01,1,1,0,75.0,0-7,0.0,Summer,2,0
Resort Hotel,0,13,2015,7,27,1,0,1,1,0,0,BB,GBR,Corporate,Corporate,0,0,0,A,0,No Deposit,304,0,Transient,75.0,0,0,1,0,2015-07-01,1,1,0,75.0,8-30,0.0,Summer,2,0
Resort Hotel,0,14,2015,7,27,1,0,2,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,0,No Deposit,240,0,Transient,98.0,0,1,1,0,2015-07-01,2,2,0,49.0,8-30,0.0,Summer,2,0
Resort Hotel,0,14,2015,7,27,1,0,2,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,0,No Deposit,240,0,Transient,98.0,0,1,1,0,2015-07-01,2,2,0,49.0,8-30,0.0,Summer,2,0
Resort Hotel,0,0,2015,7,27,1,0,2,2,0,0,BB,PRT,Direct,Direct,0,0,0,C,0,No Deposit,NoAgent,0,Transient,107.0,0,0,0,0,2015-07-01,2,2,0,53.5,0-7,0.0,Summer,2,1
Resort Hotel,0,9,2015,7,27,1,0,2,2,0,0,FB,PRT,Direct,Direct,0,0,0,C,0,No Deposit,303,0,Transient,103.0,0,1,1,0,2015-07-01,2,2,0,51.5,8-30,0.0,Summer,2,1
Resort Hotel,1,85,2015,7,27,1,0,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,240,0,Transient,82.0,0,1,1,0,2015-07-01,3,2,0,41.0,31-90,0.0,Summer,2,1
Resort Hotel,1,75,2015,7,27,1,0,3,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,D,0,No Deposit,15,0,Transient,105.5,0,0,1,0,2015-07-01,3,2,0,52.75,31-90,0.0,Summer,2,1
