is_canceled,deposit_type,agent,lead_time,country,is_domestic,total_of_special_requests,market_segment,adr,lead_time_group,adr_per_person,required_car_parking_spaces,cancel_history_ratio,booking_changes,total_nights,customer_type,arrival_date_week_number,previous_cancellations,arrival_date_day_of_month
0,No Deposit,NoAgent,342,PRT,1,0,Direct,0.0,181-365,0.0,0,0.0,3,0,Transient,27,0,1
0,No Deposit,NoAgent,737,PRT,1,0,Direct,0.0,365+,0.0,0,0.0,4,0,Transient,27,0,1
0,No Deposit,NoAgent,7,GBR,0,0,Direct,75.0,0-7,75.0,0,0.0,0,1,Transient,27,0,1
0,No Deposit,304,13,GBR,0,0,Corporate,75.0,8-30,75.0,0,0.0,0,1,Transient,27,0,1
0,No Deposit,240,14,GBR,0,1,Online TA,98.0,8-30,49.0,0,0.0,0,2,Transient,27,0,1
0,No Deposit,240,14,GBR,0,1,Online TA,98.0,8-30,49.0,0,0.0,0,2,Transient,27,0,1
0,No Deposit,NoAgent,0,PRT,1,0,Direct,107.0,0-7,53.5,0,0.0,0,2,Transient,27,0,1
0,No Deposit,303,9,PRT,1,1,Direct,103.0,8-30,51.5,0,0.0,0,2,Transient,27,0,1
1,No Deposit,240,85,PRT,1,1,Online TA,82.0,31-90,41.0,0,0.0,0,3,Transient,27,0,1
1,No Deposit,15,75,PRT,1,0,Offline TA/TO,105.5,31-90,52.75,0,0.0,0,3,Transient,27,0,1
1,No Deposit,240,23,PRT,1,0,Online TA,123.0,8-30,61.5,0,0.0,0,4,Transient,27,0,1
0,No Deposit,240,35,PRT,1,0,Online TA,145.0,31-90,72.5,0,0.0,0,4,Transient,27,0,1
0,No Deposit,240,68,USA,0,3,Online TA,97.0,31-90,48.5,0,0.0,0,4,Transient,27,0,1
0,No Deposit,241,18,ESP,0,1,Online TA,154.77,8-30,51.59,0,0.0,1,4,Transient,27,0,1
0,No Deposit,241,37,PRT,1,0,Online TA,94.71,31-90,47.355,0,0.0,0,4,Transient,27,0,1
0,No Deposit,240,68,IRL,0,3,Online TA,97.0,31-90,48.5,0,0.0,0,4,Transient,27,0,1
0,No Deposit,8,37,PRT,1,0,Offline TA/TO,97.5,31-90,48.75,0,0.0,0,4,Contract,27,0,1
0,No Deposit,240,12,IRL,0,0,Online TA,88.2,8-30,44.1,0,0.0,0,1,Transient,27,0,1
0,No Deposit,NoAgent,0,FRA,0,0,Corporate,107.42,0-7,53.71,0,0.0,0,1,Transient,27,0,1
0,No Deposit,250,7,GBR,0,1,Direct,153.0,0-7,76.5,0,0.0,0,4,Transient,27,0,1
0,No Deposit,241,37,GBR,0,1,Online TA,97.29,31-90,97.29,0,0.0,0,5,Transient,27,0,1
0,No Deposit,250,72,PRT,1,1,Direct,84.67,31-90,42.335,0,0.0,1,6,Transient,27,0,1
0,No Deposit,250,72,PRT,1,1,Direct,84.67,31-90,42.335,0,0.0,1,6,Transient,27,0,1
0,No Deposit,250,72,PRT,1,1,Direct,99.67,31-90,49.835,0,0.0,1,6,Transient,27,0,1
0,No Deposit,115,127,GBR,0,1,Offline TA/TO,94.95,91-180,47.475,0,0.0,0,7,Contract,27,0,1
0,No Deposit,5,78,PRT,1,0,Offline TA/TO,63.6,31-90,31.8,1,0.0,0,7,Transient,27,0,1
0,No Deposit,8,48,IRL,0,0,Offline TA/TO,79.5,31-90,39.75,0,0.0,0,7,Contract,27,0,1
1,No Deposit,240,60,PRT,1,2,Online TA,107.0,31-90,53.5,0,0.0,0,7,Transient,27,0,1
0,No Deposit,240,77,PRT,1,0,Online TA,94.0,31-90,47.0,0,0.0,0,7,Transient,27,0,1
0,No Deposit,240,99,PRT,1,1,Online TA,87.3,91-180,43.65,1,0.0,0,7,Transient,27,0,1
0,No Deposit,NoAgent,118,Unknown,0,2,Direct,62.0,91-180,62.0,0,0.0,2,14,Transient,27,0,1
0,No Deposit,241,95,GBR,0,0,Offline TA/TO,63.86,91-180,31.93,0,0.0,0,15,Transient,27,0,1
1,No Deposit,NoAgent,96,PRT,1,2,Direct,108.3,91-180,54.15,0,0.0,0,10,Transient,27,0,1
0,No Deposit,175,69,IRL,0,0,Offline TA/TO,65.5,31-90,32.75,0,0.0,0,6,Transient,27,0,2
1,No Deposit,241,45,PRT,1,1,Online TA,108.8,31-90,36.2667,0,0.0,0,4,Transient,27,0,2
1,No Deposit,241,40,PRT,1,1,Online TA,108.8,31-90,36.2667,0,0.0,0,4,Transient,27,0,2
0,No Deposit,240,15,ESP,0,0,Online TA,98.0,8-30,49.0,0,0.0,0,4,Transient,27,0,2
0,No Deposit,241,36,PRT,1,1,Online TA,108.8,31-90,36.2667,0,0.0,0,4,Transient,27,0,2
1,No Deposit,241,43,PRT,1,0,Online TA,108.8,31-90,36.2667,0,0.0,0,4,Transient,27,0,2
0,No Deposit,250,70,ROU,0,1,Direct,137.0,31-90,68.5,0,0.0,0,5,Transient,27,0,2
1,No Deposit,241,45,PRT,1,0,Online TA,117.81,31-90,58.905,0,0.0,0,5,Transient,27,0,2
0,No Deposit,8,45,IRL,0,0,Offline TA/TO,79.5,31-90,39.75,0,0.0,0,5,Contract,27,0,2
0,No Deposit,NoAgent,16,ESP,0,0,Direct,123.0,8-30,61.5,0,0.0,0,5,Transient,27,0,2
0,No Deposit,250,70,ROU,0,1,Direct,137.0,31-90,68.5,0,0.0,0,5,Transient,27,0,2
0,No Deposit,240,107,PRT,1,2,Online TA,110.7,91-180,55.35,0,0.0,0,7,Transient,27,0,2
1,No Deposit,240,47,PRT,1,0,Online TA,153.0,31-90,38.25,0,0.0,0,7,Transient,27,0,2
0,No Deposit,134,96,ESP,0,1,Offline TA/TO,58.95,91-180,29.475,0,0.0,0,7,Transient,27,0,2
0,No Deposit,156,113,NOR,0,2,Offline TA/TO,82.88,91-180,41.44,0,0.0,0,7,Transient-Party,27,0,2
0,No Deposit,243,90,GBR,0,0,Offline TA/TO,82.35,31-90,41.175,0,0.0,1,7,Contract,27,0,2
0,No Deposit,241,50,IRL,0,1,Online TA,119.35,31-90,59.675,0,0.0,1,7,Transient,27,0,2
0,No Deposit,156,113,NOR,0,2,Offline TA/TO,67.58,91-180,33.79,0,0.0,0,7,Transient-Party,27,0,2
0,No Deposit,156,93,IRL,0,0,Offline TA/TO,56.01,91-180,28.005,0,0.0,0,11,Contract,27,0,2
0,No Deposit,243,76,OMN,0,0,Offline TA/TO,110.7,31-90,55.35,0,0.0,0,14,Contract,27,0,2
0,No Deposit,240,3,ESP,0,0,Online TA,88.2,0-7,44.1,1,0.0,0,1,Transient,27,0,2
0,No Deposit,240,1,ARG,0,0,Online TA,147.0,0-7,73.5,1,0.0,0,1,Transient,27,0,2
0,No Deposit,NoAgent,1,ESP,0,2,Direct,107.0,0-7,26.75,1,0.0,0,1,Transient,27,0,2
0,No Deposit,NoAgent,0,PRT,1,0,Direct,147.0,0-7,73.5,0,0.0,0,1,Transient,27,0,2
0,No Deposit,240,0,PRT,1,2,Online TA,117.9,0-7,58.95,0,0.0,0,1,Transient,27,0,2
0,No Deposit,NoAgent,0,PRT,1,0,Direct,123.0,0-7,61.5,0,0.0,0,1,Transient,27,0,2
0,No Deposit,242,14,USA,0,1,Online TA,98.0,8-30,49.0,0,0.0,0,2,Transient,27,0,2
0,No Deposit,241,10,PRT,1,0,Online TA,117.81,8-30,58.905,0,0.0,0,2,Transient,27,0,2
0,No Deposit,240,5,IRL,0,2,Online TA,135.0,0-7,67.5,1,0.0,0,2,Transient,27,0,2
0,No Deposit,250,17,ESP,0,1,Direct,133.0,8-30,66.5,0,0.0,0,3,Transient,27,0,2
0,No Deposit,115,93,IRL,0,0,Offline TA/TO,58.95,91-180,29.475,0,0.0,0,3,Contract,27,0,2
1,No Deposit,240,3,PRT,1,2,Online TA,136.33,0-7,68.165,0,0.0,0,3,Transient,27,0,2
0,No Deposit,240,10,USA,0,0,Online TA,153.0,8-30,38.25,1,0.0,0,2,Transient,27,0,3
0,No Deposit,240,3,ESP,0,0,Online TA,110.5,0-7,55.25,0,0.0,0,2,Transient,27,0,3
0,No Deposit,242,51,POL,0,0,Online TA,97.0,31-90,48.5,0,0.0,0,2,Transient,27,0,3
1,No Deposit,242,71,PRT,1,2,Offline TA/TO,110.3,31-90,36.7667,0,0.0,0,2,Transient,27,0,3
1,No Deposit,240,63,PRT,1,2,Online TA,82.0,31-90,41.0,0,0.0,0,2,Transient,27,0,3
1,No Deposit,240,62,PRT,1,1,Online TA,97.0,31-90,48.5,0,0.0,0,2,Transient,27,0,3
1,No Deposit,240,101,PRT,1,1,Online TA,73.8,91-180,36.9,0,0.0,0,2,Transient,27,0,3
0,No Deposit,3,2,PRT,1,0,Offline TA/TO,91.5,0-7,45.75,0,0.0,0,2,Transient,27,0,3
0,No Deposit,240,15,ESP,0,0,Online TA,114.5,8-30,57.25,0,0.0,0,2,Transient,27,0,3
1,No Deposit,242,51,PRT,1,0,Online TA,110.3,31-90,36.7667,0,0.0,0,2,Transient,27,0,3
0,No Deposit,240,3,ESP,0,0,Online TA,90.9,0-7,45.45,1,0.0,0,3,Transient,27,0,3
1,No Deposit,240,48,PRT,1,0,Online TA,123.0,31-90,61.5,0,0.0,0,3,Transient,27,0,3
0,No Deposit,240,2,PRT,1,0,Online TA,122.0,0-7,122.0,0,0.0,0,4,Transient,27,0,3
0,No Deposit,105,72,DEU,0,0,Offline TA/TO,110.7,31-90,55.35,1,0.0,0,4,Transient,27,0,3
0,No Deposit,5,81,PRT,1,0,Offline TA/TO,85.86,31-90,28.62,0,0.0,0,8,Transient,27,0,3
0,No Deposit,40,99,FRA,0,0,Offline TA/TO,58.95,91-180,29.475,0,0.0,0,9,Contract,27,0,3
1,No Deposit,40,368,PRT,1,0,Offline TA/TO,55.68,365+,27.84,0,0.0,0,10,Contract,27,0,3
0,No Deposit,40,364,GBR,0,0,Offline TA/TO,55.68,181-365,27.84,0,0.0,0,10,Contract,27,0,3
1,No Deposit,250,81,PRT,1,1,Direct,124.0,31-90,62.0,0,0.0,2,10,Transient,27,0,3
0,No Deposit,115,99,GBR,0,0,Offline TA/TO,111.15,91-180,55.575,0,0.0,0,10,Contract,27,0,3
0,No Deposit,40,324,GBR,0,0,Offline TA/TO,134.73,181-365,67.365,0,0.0,0,14,Contract,27,0,3
0,No Deposit,241,69,GBR,0,1,Online TA,92.45,31-90,46.225,0,0.0,1,14,Transient,27,0,3
1,No Deposit,242,79,PRT,1,2,Offline TA/TO,108.73,31-90,36.2433,0,0.0,0,21,Transient,27,0,3
0,No Deposit,240,12,GBR,0,0,Online TA,73.8,8-30,36.9,0,0.0,0,1,Transient,27,0,3
0,No Deposit,240,9,PRT,1,2,Online TA,98.0,8-30,49.0,1,0.0,0,1,Transient,27,0,3
0,No Deposit,240,1,ESP,0,1,Online TA,131.0,0-7,65.5,0,0.0,0,1,Transient,27,0,3
0,No Deposit,240,21,PRT,1,0,Online TA,123.0,8-30,61.5,0,0.0,0,1,Transient,27,0,3
0,No Deposit,241,9,USA,0,0,Online TA,94.71,8-30,47.355,0,0.0,0,1,Transient,27,0,3
0,No Deposit,240,109,BEL,0,2,Online TA,123.0,91-180,61.5,0,0.0,0,1,Transient,27,0,3
1,No Deposit,240,109,PRT,1,1,Online TA,123.0,91-180,61.5,0,0.0,0,2,Transient,27,0,3
1,No Deposit,240,72,PRT,1,1,Online TA,73.8,31-90,36.9,0,0.0,0,2,Transient,27,0,3
1,No Deposit,242,63,PRT,1,1,Online TA,117.0,31-90,58.5,0,0.0,0,7,Transient,27,0,3
0,No Deposit,105,63,ESP,0,1,Offline TA/TO,196.54,31-90,65.5133,0,0.0,0,7,Transient,27,0,3
0,No Deposit,240,101,PRT,1,2,Online TA,99.3,91-180,33.1,1,0.0,0,7,Transient,27,0,3
0,No Deposit,250,102,DEU,0,0,Direct,90.95,91-180,45.475,0,0.0,0,7,Transient,27,0,3
0,No Deposit,250,4,ESP,0,1,Direct,92.67,0-7,46.335,0,0.0,0,3,Transient,27,0,4
0,No Deposit,8,98,FRA,0,0,Offline TA/TO,71.55,91-180,35.775,1,0.0,0,3,Transient,27,0,4
0,No Deposit,241,92,FRA,0,2,Offline TA/TO,96.49,91-180,32.1633,0,0.0,0,6,Transient,27,0,4
0,No Deposit,240,95,PRT,1,2,Online TA,85.8,91-180,42.9,1,0.0,0,6,Transient,27,0,4
0,No Deposit,240,102,PRT,1,1,Online TA,96.3,91-180,48.15,0,0.0,0,7,Transient,27,0,4
1,No Deposit,240,26,PRT,1,0,Online TA,163.0,8-30,40.75,0,0.0,0,7,Transient,27,0,4
1,No Deposit,250,73,PRT,1,1,Direct,172.0,31-90,57.3333,0,0.0,0,7,Transient,27,0,4
1,No Deposit,240,102,PRT,1,1,Online TA,110.7,91-180,55.35,0,0.0,0,7,Transient,27,0,4
0,No Deposit,134,115,PRT,1,1,Offline TA/TO,58.95,91-180,29.475,0,0.0,0,7,Transient,27,0,4
0,No Deposit,240,102,PRT,1,2,Online TA,73.8,91-180,24.6,0,0.0,0,7,Transient,27,0,4
0,No Deposit,240,86,CHE,0,2,Online TA,97.0,31-90,48.5,0,0.0,0,7,Transient,27,0,4
0,No Deposit,240,78,PRT,1,2,Online TA,139.0,31-90,46.3333,0,0.0,0,7,Transient,27,0,4
0,No Deposit,147,52,GBR,0,0,Online TA,67.24,31-90,33.62,0,0.0,0,7,Transient,27,0,4
0,No Deposit,241,29,PRT,1,1,Online TA,116.5,8-30,38.8333,0,0.0,0,8,Transient,27,0,4
1,No Deposit,240,101,PRT,1,1,Online TA,96.3,91-180,48.15,0,0.0,0,8,Transient,27,0,4
0,No Deposit,240,109,PRT,1,1,Online TA,123.0,91-180,61.5,0,0.0,0,8,Transient,27,0,4
0,No Deposit,40,92,GBR,0,1,Offline TA/TO,71.55,91-180,35.775,0,0.0,0,10,Contract,27,0,4
0,No Deposit,40,92,PRT,1,1,Offline TA/TO,71.55,91-180,35.775,0,0.0,0,10,Contract,27,0,4
0,No Deposit,250,79,PRT,1,1,Direct,149.0,31-90,49.6667,0,0.0,1,10,Transient,27,0,4
0,No Deposit,240,2,PRT,1,0,Online TA,163.0,0-7,40.75,1,0.0,1,1,Transient,27,0,4
0,No Deposit,8,30,PRT,1,0,Offline TA/TO,79.5,8-30,39.75,0,0.0,0,1,Contract,27,0,4
1,No Deposit,240,51,PRT,1,0,Online TA,105.0,31-90,105.0,0,0.0,0,1,Transient,27,0,4
1,No Deposit,250,36,PRT,1,0,Direct,123.0,31-90,123.0,0,0.0,1,1,Transient,27,0,4
1,No Deposit,240,73,PRT,1,2,Online TA,73.8,31-90,36.9,0,0.0,0,1,Transient,27,0,4
1,No Deposit,240,33,PRT,1,0,Online TA,113.0,31-90,56.5,0,0.0,0,1,Transient,27,0,4
0,No Deposit,NoAgent,32,PRT,1,1,Complementary,0.0,31-90,0.0,0,0.0,2,1,Transient,27,0,4
0,No Deposit,240,8,ESP,0,0,Online TA,123.0,8-30,61.5,0,0.0,0,1,Transient,27,0,4
0,No Deposit,240,100,FRA,0,1,Online TA,73.8,91-180,36.9,1,0.0,0,2,Transient-Party,27,0,4
0,No Deposit,240,1,PRT,1,0,Online TA,114.5,0-7,57.25,0,0.0,0,2,Transient,27,0,4
0,No Deposit,240,100,FRA,0,2,Online TA,73.8,91-180,36.9,0,0.0,0,2,Transient-Party,27,0,4
0,No Deposit,240,100,FRA,0,1,Online TA,73.8,91-180,36.9,0,0.0,0,2,Transient-Party,27,0,4
0,No Deposit,240,9,ESP,0,1,Online TA,88.2,8-30,44.1,0,0.0,0,1,Transient,28,0,5
1,No Deposit,240,5,PRT,1,0,Online TA,97.0,0-7,48.5,0,0.0,0,1,Transient,28,0,5
0,No Deposit,306,0,ESP,0,0,Online TA,85.1,0-7,42.55,0,0.0,1,1,Transient,28,0,5
0,No Deposit,184,9,DEU,0,0,Online TA,89.0,8-30,89.0,0,0.0,0,1,Transient,28,0,5
0,No Deposit,240,2,PRT,1,0,Online TA,80.1,0-7,80.1,0,0.0,0,1,Transient,28,0,5
0,No Deposit,240,2,PRT,1,0,Online TA,98.0,0-7,49.0,0,0.0,0,1,Transient,28,0,5
0,No Deposit,184,9,DEU,0,0,Online TA,101.0,8-30,101.0,1,0.0,0,1,Transient,28,0,5
1,No Deposit,240,5,PRT,1,0,Online TA,97.0,0-7,48.5,0,0.0,0,1,Transient,28,0,5
0,No Deposit,NoAgent,2,PRT,1,1,Direct,167.0,0-7,83.5,0,0.0,0,1,Transient,28,0,5
0,No Deposit,240,44,PRT,1,0,Online TA,225.0,31-90,75.0,2,0.0,3,2,Transient,28,0,5
0,No Deposit,240,80,FRA,0,0,Online TA,97.0,31-90,48.5,1,0.0,0,2,Transient,28,0,5
0,No Deposit,240,97,ESP,0,2,Online TA,87.3,91-180,43.65,0,0.0,0,4,Transient,28,0,5
0,No Deposit,241,109,CN,0,2,Offline TA/TO,85.59,91-180,28.53,1,0.0,0,5,Transient,28,0,5
0,No Deposit,240,30,ESP,0,0,Online TA,123.0,8-30,61.5,0,0.0,0,5,Transient,28,0,5
0,No Deposit,240,64,PRT,1,0,Online TA,107.0,31-90,53.5,0,0.0,0,5,Transient,28,0,5
0,No Deposit,240,39,ESP,0,0,Online TA,163.0,31-90,81.5,0,0.0,0,6,Transient,28,0,5
0,No Deposit,240,90,PRT,1,0,Online TA,82.0,31-90,41.0,0,0.0,0,6,Transient,28,0,5
1,No Deposit,240,34,PRT,1,0,Online TA,163.0,31-90,40.75,0,0.0,0,6,Transient,28,0,5
1,No Deposit,15,93,PRT,1,0,Offline TA/TO,105.5,91-180,52.75,0,0.0,0,7,Transient,28,0,5
0,No Deposit,250,97,PRT,1,1,Direct,164.2,91-180,41.05,1,0.0,1,7,Transient,28,0,5
0,No Deposit,241,29,IRL,0,1,Online TA,97.29,8-30,48.645,0,0.0,0,7,Transient,28,0,5
1,No Deposit,240,101,PRT,1,1,Online TA,114.0,91-180,57.0,0,0.0,0,7,Transient,28,0,5
0,No Deposit,175,27,ESP,0,0,Offline TA/TO,98.4,8-30,49.2,0,0.0,0,7,Transient,28,0,5
0,No Deposit,240,8,CHE,0,1,Online TA,175.0,8-30,43.75,1,0.0,1,9,Transient,28,0,5
0,No Deposit,5,82,PRT,1,2,Offline TA/TO,63.6,31-90,31.8,1,0.0,0,10,Transient,28,0,5
0,No Deposit,NoAgent,94,PRT,1,1,Direct,124.45,91-180,41.4833,1,0.0,3,10,Transient,28,0,5
0,No Deposit,40,110,GBR,0,0,Offline TA/TO,110.7,91-180,55.35,0,0.0,0,11,Contract,28,0,5
0,No Deposit,40,96,GBR,0,0,Offline TA/TO,74.07,91-180,74.07,0,0.0,0,14,Contract,28,0,5
0,No Deposit,243,79,GBR,0,0,Offline TA/TO,134.1,31-90,67.05,0,0.0,0,14,Contract,28,0,5
0,No Deposit,240,115,PRT,1,0,Online TA,167.0,91-180,41.75,0,0.0,1,5,Transient,28,0,6
0,No Deposit,240,111,PRT,1,2,Online TA,123.0,91-180,61.5,0,0.0,0,4,Transient,28,0,6
0,No Deposit,241,51,USA,0,2,Online TA,117.81,31-90,58.905,1,0.0,0,4,Transient,28,0,6
0,No Deposit,96,94,CN,0,1,Offline TA/TO,171.32,91-180,57.1067,0,0.0,0,4,Transient,28,0,6
0,No Deposit,250,81,CHE,0,0,Direct,210.0,31-90,52.5,1,0.0,0,4,Transient,28,0,6
0,No Deposit,240,84,PRT,1,2,Online TA,97.0,31-90,32.3333,0,0.0,1,4,Transient,28,0,6
0,No Deposit,241,51,USA,0,2,Online TA,117.81,31-90,39.27,0,0.0,0,4,Transient,28,0,6
0,No Deposit,240,111,PRT,1,2,Online TA,0.0,91-180,0.0,0,0.0,0,0,Transient,28,0,6
0,No Deposit,250,0,PRT,1,0,Direct,0.0,0-7,0.0,0,0.0,0,0,Transient,28,0,6
0,No Deposit,NoAgent,2,PRT,1,0,Direct,131.0,0-7,43.6667,0,0.0,0,1,Transient,28,0,6
0,No Deposit,240,7,PRT,1,2,Online TA,98.0,0-7,49.0,0,0.0,0,2,Transient,28,0,6
0,No Deposit,240,98,USA,0,1,Online TA,87.3,91-180,43.65,1,0.0,0,2,Transient,28,0,6
0,No Deposit,240,95,GRC,0,1,Online TA,97.0,91-180,48.5,0,0.0,0,3,Transient,28,0,6
1,No Deposit,240,48,PRT,1,0,Online TA,167.0,31-90,83.5,0,0.0,0,4,Transient,28,0,6
0,No Deposit,175,66,PRT,1,0,Offline TA/TO,91.5,31-90,45.75,0,0.0,0,4,Transient,28,0,6
0,No Deposit,240,104,PRT,1,1,Online TA,73.8,91-180,36.9,0,0.0,1,4,Transient,28,0,6
0,No Deposit,240,28,PRT,1,0,Online TA,123.0,8-30,61.5,0,0.0,0,5,Transient,28,0,6
0,No Deposit,250,34,PRT,1,0,Direct,175.0,31-90,87.5,1,0.0,0,5,Transient,28,0,6
0,No Deposit,240,98,ESP,0,1,Online TA,117.8,91-180,58.9,1,0.0,0,6,Transient,28,0,6
