,dtype,n_unique,n_missing,pct_missing
company,float64,352,112593,94.31
agent,float64,333,16340,13.69
country,str,177,488,0.41
children,float64,5,4,0.0
arrival_date_month,str,12,0,0.0
arrival_date_week_number,int64,53,0,0.0
hotel,str,2,0,0.0
is_canceled,int64,2,0,0.0
stays_in_weekend_nights,int64,17,0,0.0
arrival_date_day_of_month,int64,31,0,0.0
adults,int64,14,0,0.0
stays_in_week_nights,int64,35,0,0.0
babies,int64,5,0,0.0
meal,str,5,0,0.0
lead_time,int64,479,0,0.0
arrival_date_year,int64,3,0,0.0
distribution_channel,str,5,0,0.0
market_segment,str,8,0,0.0
previous_bookings_not_canceled,int64,73,0,0.0
is_repeated_guest,int64,2,0,0.0
reserved_room_type,str,10,0,0.0
assigned_room_type,str,12,0,0.0
booking_changes,int64,21,0,0.0
previous_cancellations,int64,15,0,0.0
deposit_type,str,3,0,0.0
days_in_waiting_list,int64,128,0,0.0
customer_type,str,4,0,0.0
adr,float64,8879,0,0.0
required_car_parking_spaces,int64,5,0,0.0
total_of_special_requests,int64,6,0,0.0
reservation_status,str,3,0,0.0
reservation_status_date,str,926,0,0.0
