,MI_rank,RF_rank,Perm_rank,MI_vote,RF_vote,Perm_vote,total_votes,mean_rank,engineered,decision
deposit_type,1.0,1.0,7.0,1,1,1,3,3.0,False,keep
agent,2.0,6.0,1.0,1,1,1,3,3.0,False,keep
lead_time,3.0,2.0,5.0,1,1,1,3,3.3333333333333335,False,keep
country,6.0,3.0,6.0,1,1,1,3,5.0,False,keep
is_domestic,8.0,5.0,4.0,1,1,1,3,5.666666666666667,True,keep
total_of_special_requests,12.0,4.0,3.0,1,1,1,3,6.333333333333333,False,keep
market_segment,11.0,7.0,2.0,1,1,1,3,6.666666666666667,False,keep
adr,4.0,8.0,11.0,1,1,1,3,7.666666666666667,False,keep
lead_time_group,7.0,9.0,12.0,1,1,1,3,9.333333333333334,True,keep
adr_per_person,5.0,10.0,14.0,1,1,1,3,9.666666666666666,True,keep
required_car_parking_spaces,13.0,13.0,9.0,1,1,1,3,11.666666666666666,False,keep
cancel_history_ratio,9.0,11.0,16.0,1,1,1,3,12.0,True,keep
booking_changes,14.0,17.0,13.0,1,1,1,3,14.666666666666666,False,keep
total_nights,17.0,18.0,17.0,1,1,1,3,17.333333333333332,True,keep
customer_type,19.0,12.0,8.0,0,1,1,2,13.0,False,keep
arrival_date_week_number,21.0,14.0,15.0,0,1,1,2,16.666666666666668,False,keep
previous_cancellations,10.0,16.0,30.0,1,1,0,2,18.666666666666668,False,keep
arrival_date_day_of_month,26.0,15.0,18.0,0,1,1,2,19.666666666666668,False,keep
hotel,20.0,22.0,10.0,0,0,1,1,17.333333333333332,False,drop
distribution_channel,15.0,23.0,21.0,1,0,0,1,19.666666666666668,False,drop
stays_in_week_nights,18.0,21.0,22.0,1,0,0,1,20.333333333333332,False,drop
days_in_waiting_list,16.0,34.0,37.0,1,0,0,1,29.0,False,drop
arrival_weekday,23.0,20.0,27.0,0,0,0,0,23.333333333333332,True,drop
arrival_date_month,36.5,19.0,20.0,0,0,0,0,25.166666666666668,False,drop
stays_in_weekend_nights,30.0,24.0,23.0,0,0,0,0,25.666666666666668,False,drop
meal,34.0,25.0,19.0,0,0,0,0,26.0,False,drop
has_agent,24.0,30.0,28.0,0,0,0,0,27.333333333333332,False,drop
adults,25.0,29.0,29.0,0,0,0,0,27.666666666666668,False,drop
season,33.0,26.0,24.0,0,0,0,0,27.666666666666668,True,drop
previous_bookings_not_canceled,22.0,31.0,31.0,0,0,0,0,28.0,False,drop
total_guests,31.0,28.0,25.0,0,0,0,0,28.0,True,drop
reserved_room_type,32.0,27.0,26.0,0,0,0,0,28.333333333333332,False,drop
is_repeated_guest,27.0,35.0,34.0,0,0,0,0,32.0,False,drop
has_company,28.0,33.0,36.0,0,0,0,0,32.333333333333336,False,drop
babies,29.0,37.0,35.0,0,0,0,0,33.666666666666664,False,drop
children,36.5,32.0,33.0,0,0,0,0,33.833333333333336,False,drop
is_family,35.0,36.0,32.0,0,0,0,0,34.333333333333336,True,drop
