K,f1_mean,f1_std,roc_auc_mean
3,0.6031465765979142,0.005553071331512515,0.8350957870183805
5,0.7058949045284123,0.0017195315946253009,0.8934916569103194
7,0.7677958656805912,0.0046788614886288235,0.9132164616349132
9,0.7756802471661216,0.0021832508770300908,0.9175347096171717
11,0.7893518567329849,0.0024141399411219985,0.9279607566942745
13,0.8037507071548461,0.0023789045622056165,0.9371850703436522
15,0.8105832161801607,0.0025611825679258387,0.9403937724889398
17,0.8107428464774428,0.0035082215010856137,0.9411283321591406
18,0.8100108144413856,0.003025406036942145,0.9410723110530834
19,0.8102295721690492,0.002588450392644418,0.940874268102498
21,0.8095440448213856,0.001965815355102266,0.9409076023537412
23,0.8104479994488502,0.002910960071334161,0.9410459611413667
25,0.8121302113787574,0.003559126060127865,0.9414568029589429
27,0.8114267595316947,0.002683056675720526,0.9416622765187451
29,0.812140983226827,0.0025848554595944476,0.9411255367932014
31,0.8119629693848668,0.0018672216909451612,0.9421737507674189
33,0.81308721150744,0.0028498725294056034,0.9424627849057169
35,0.8137948223241693,0.0030030577337633113,0.9423230116033946
37,0.8126158737821503,0.003584934271367071,0.9422621309576216
