,A_report (min_samples_leaf=5),B_tuned,rank_A,rank_B,rank_change,in_top18_A,in_top18_B
deposit_type,0.14498,0.09151,1.0,2.0,1,True,True
lead_time,0.09173,0.09364,2.0,1.0,-1,True,True
country,0.06838,0.06888,3.0,3.0,0,True,True
total_of_special_requests,0.06554,0.05966,4.0,6.0,2,True,True
is_domestic,0.06407,0.06332,5.0,4.0,-1,True,True
agent,0.06317,0.06205,6.0,5.0,-1,True,True
market_segment,0.05849,0.05497,7.0,7.0,0,True,True
adr,0.04193,0.04989,8.0,8.0,0,True,True
lead_time_group,0.04106,0.04358,9.0,10.0,1,True,True
adr_per_person,0.03653,0.04483,10.0,9.0,-1,True,True
cancel_history_ratio,0.03153,0.02293,11.0,16.0,5,True,True
customer_type,0.02863,0.03133,12.0,14.0,2,True,True
required_car_parking_spaces,0.02791,0.03268,13.0,13.0,0,True,True
arrival_date_week_number,0.02742,0.03394,14.0,11.0,-3,True,True
arrival_date_day_of_month,0.02567,0.03361,15.0,12.0,-3,True,True
previous_cancellations,0.02037,0.01498,16.0,21.0,5,True,False
booking_changes,0.02002,0.01976,17.0,19.0,2,True,False
total_nights,0.01924,0.02408,18.0,15.0,-3,True,True
arrival_date_month,0.01527,0.01977,19.0,18.0,-1,False,True
arrival_weekday,0.01494,0.02037,20.0,17.0,-3,False,True
stays_in_week_nights,0.0146,0.01805,21.0,20.0,-1,False,False
hotel,0.01043,0.01073,22.0,24.0,2,False,False
distribution_channel,0.0102,0.01126,23.0,23.0,0,False,False
stays_in_weekend_nights,0.00932,0.01154,24.0,22.0,-2,False,False
meal,0.00842,0.01014,25.0,25.0,0,False,False
season,0.00778,0.01001,26.0,27.0,1,False,False
reserved_room_type,0.00724,0.01001,27.0,26.0,-1,False,False
total_guests,0.00613,0.00788,28.0,28.0,0,False,False
adults,0.00381,0.00574,29.0,29.0,0,False,False
has_agent,0.00351,0.00361,30.0,31.0,1,False,False
previous_bookings_not_canceled,0.00304,0.00415,31.0,30.0,-1,False,False
children,0.00213,0.00286,32.0,32.0,0,False,False
has_company,0.00183,0.00218,33.0,33.0,0,False,False
days_in_waiting_list,0.00171,0.00173,34.0,36.0,2,False,False
is_repeated_guest,0.00149,0.00195,35.0,35.0,0,False,False
is_family,0.00138,0.00205,36.0,34.0,-2,False,False
babies,0.00011,0.00034,37.0,37.0,0,False,False
