group,value,n,actual_cancel_rate,predicted_cancel_rate,precision,recall,f1
hotel,City Hotel,15731,0.424,0.4345,0.847,0.8679,0.8573
hotel,Resort Hotel,8111,0.2675,0.2784,0.7994,0.8318,0.8153
distribution_channel,Corporate,1372,0.2201,0.1866,0.9141,0.7748,0.8387
distribution_channel,Direct,2972,0.1672,0.1198,0.7893,0.5654,0.6589
distribution_channel,TA/TO,19462,0.4127,0.4355,0.8349,0.8811,0.8574
deposit_type,No Deposit,20892,0.2838,0.2961,0.7578,0.7906,0.7739
deposit_type,Non Refund,2919,0.9945,0.9938,0.9997,0.999,0.9993
customer_type,Contract,841,0.2949,0.3103,0.8966,0.9435,0.9194
customer_type,Group,134,0.1119,0.1119,0.7333,0.7333,0.7333
customer_type,Transient,17857,0.4081,0.4236,0.8196,0.8508,0.8349
customer_type,Transient-Party,5010,0.2575,0.2499,0.9177,0.8907,0.904
