,param_model__class_weight,param_model__l2_regularization,param_model__learning_rate,param_model__max_depth,param_model__max_leaf_nodes,param_model__min_samples_leaf,mean_test_f1,std_test_f1,mean_test_roc_auc,rank_test_f1
5,balanced,0.0023036990230378648,0.10673537394397253,10,127,20,0.8151460213913113,0.002041009239878065,0.938363765000632,1
11,balanced,1.2604664585649468,0.2546633740246392,6,127,50,0.8116292962461894,0.001914009566937498,0.936740510837819,2
6,,2.752717392942941,0.12622161866599427,,63,50,0.810460961205568,0.004150561350814772,0.9395345906674349,3
9,balanced,0.0013726318898045872,0.23467875319825232,6,127,50,0.8100355206976778,0.0030208188338126368,0.936536498057353,4
2,balanced,0.0016813042706040676,0.14130789949786354,6,31,50,0.8083185689464871,0.003567581951289274,0.9347906830254118,5
4,balanced,0.0012366582530130832,0.08283481117034153,10,31,100,0.8070343008998139,0.0037473967091527444,0.9353781587186584,6
1,balanced,0.004207053950287938,0.023406777359270506,,127,100,0.8022129350129078,0.003158063339981639,0.9316412026420987,7
18,balanced,2.8340904295147746,0.1081646811537551,6,15,100,0.7998634631657365,0.0033831378371515196,0.9304442731003401,8
3,balanced,9.307782732027235,0.10647425298136172,6,31,20,0.7998096935695372,0.004086130563959393,0.9312905320484592,9
15,,0.004582133690843357,0.020865069562575455,,127,20,0.7983223147279302,0.00439376733686449,0.9360292019178335,10
10,balanced,0.12030178871154672,0.08790451384972603,6,15,100,0.7963145731506523,0.0026346324721050695,0.9286441197443919,11
7,balanced,5.872283616443723,0.09194081411309145,6,15,50,0.796282822302928,0.0032403750450260426,0.9288924506806439,12
8,,0.008386394780402562,0.03841474365667243,10,127,20,0.7960224157714156,0.0031619427246669307,0.9338062471352339,13
19,,0.4735490946578582,0.1213990975989205,6,63,100,0.79469953034589,0.0005046158815960496,0.932732683801214,14
13,balanced,0.02001342062287998,0.05729938473542885,6,63,20,0.7900414581080435,0.004671138781884771,0.9256599493008589,15
14,balanced,0.026730883107816707,0.04279909806035244,,15,20,0.7891091198661551,0.0030970525363518617,0.9250629304527135,16
12,,4.869640941520899,0.025415885998427375,10,127,20,0.788061639090687,0.003222100855564719,0.929341405771107,17
17,,1.2164139351417065,0.024440678788136116,10,31,20,0.7791354417302495,0.0023518091142288406,0.9262743534596755,18
0,,1.5352246941973489,0.032867452853300214,,15,100,0.7735170809820865,0.002439254314944687,0.9204287028318449,19
16,balanced,0.014926318309209369,0.02077730198812756,10,15,100,0.7725271419046038,0.004422048729028063,0.9144156329927404,20
