,param_model__C,param_model__class_weight,mean_test_f1,std_test_f1,mean_test_roc_auc,rank_test_f1
5,0.04661686413912769,balanced,0.7728780297697252,0.0028035682975721347,0.9089967888146301,1
17,1.2357483710912178,balanced,0.7726300059614237,0.002583481157841754,0.909653075168805,2
18,0.37253938395788866,balanced,0.7725738599682761,0.002923437357891007,0.9097503552849958,3
6,3.4702669886504163,balanced,0.7724758109523441,0.0026007523276970392,0.9095112487828,4
8,14.528246637516036,balanced,0.7724371037456793,0.00226272295744527,0.9095220666561215,5
10,0.008260808399079604,balanced,0.7699113708494401,0.0021584978851365514,0.9057064119493141,6
1,0.008263688714158009,balanced,0.7698699152163714,0.0022093235706692692,0.9057076933893494,7
14,0.004982752357076452,balanced,0.7686278147180783,0.0022909471363086243,0.9039091596177905,8
4,0.0019517224641449498,balanced,0.7635346046886777,0.0017724618548282992,0.8990271194683297,9
7,0.0019145111285710716,balanced,0.7634747448618618,0.0020519082294389182,0.8989109819970399,10
9,0.0010090061869151559,balanced,0.7585268143308737,0.0027087741420741248,0.8939689314243404,11
15,73.92266140516048,,0.7555887048547726,0.003529458309356189,0.9091705945851434,12
11,1.1435780278433403,,0.754889412371076,0.0031163169076145907,0.9093902834391486,13
13,0.4206039057901998,,0.7545802521130126,0.0039207835872653515,0.909517122094614,14
2,0.9846738873614566,,0.75452288886928,0.002927736946841657,0.9094041372527443,15
19,0.21568228019263963,,0.7543195482262725,0.004208747187892961,0.9094951639654806,16
16,0.19069966103000435,,0.7540939988647258,0.004408104173092539,0.909465163985323,17
3,0.16949768237884735,,0.7538007179936388,0.004574329189557789,0.9094556544459854,18
12,0.14445251022763064,,0.7534525451127977,0.004358699633628068,0.90943700797633,19
0,0.0745934328572655,,0.7505115448507557,0.003618496983074878,0.9090699081145851,20
