,param_model__n_estimators,param_model__min_samples_leaf,param_model__max_features,param_model__max_depth,param_model__class_weight,mean_test_f1,std_test_f1,mean_test_roc_auc,rank_test_f1
5,300,2,log2,,balanced_subsample,0.8212861141581845,0.0015773525363483225,0.9421067991039115,1
13,500,5,log2,30,balanced,0.8190053088766273,0.001753256562072826,0.9399690547341061,2
9,500,5,0.5,30,balanced,0.8184902450504942,0.0015049821926483623,0.9406436597565436,3
4,200,5,log2,,balanced_subsample,0.81848111489602,0.0022661148708447384,0.939532651400634,4
14,200,5,sqrt,30,balanced_subsample,0.8184157235991428,0.0019338854706572783,0.9395059924706088,5
3,200,5,log2,20,balanced_subsample,0.8180414185394306,0.0027591475689100493,0.9392207187880691,6
0,200,5,0.5,,balanced,0.8180318825736296,0.0014809732349371331,0.9404483709086554,7
18,500,5,0.5,20,balanced_subsample,0.817617871743074,0.0016976403064832024,0.940245312739648,8
7,500,2,0.3,,,0.8155394418011722,0.0017706889373141838,0.9421791718156373,9
2,300,10,sqrt,30,balanced,0.8131409873235618,0.001299911201303977,0.9362843675964391,10
15,500,10,log2,30,,0.7992409415442362,0.003087455695007517,0.9358110807478454,11
19,200,10,sqrt,30,,0.7984987602951247,0.004116820251786474,0.9356903577065229,12
1,300,10,log2,20,,0.7978029550040366,0.00394031040654275,0.93549448403803,13
16,300,1,0.3,10,balanced,0.7956032635770992,0.0012876432935716128,0.9274279159566571,14
6,300,5,log2,10,balanced,0.7936412934294785,0.0008788840896125648,0.925766941986204,15
11,200,2,log2,10,balanced_subsample,0.7933935848295849,0.00205974698424384,0.92604186277882,16
10,500,1,0.5,10,balanced_subsample,0.7914231208996397,0.002344810209678402,0.9277560924344058,17
12,500,2,0.5,10,balanced,0.7911246390852115,0.002278368376514265,0.9277948467621574,18
8,300,10,0.3,10,,0.7831185705288419,0.0038457444749428007,0.9250692229731049,19
17,300,5,sqrt,10,,0.7799638373446535,0.003176698580933232,0.9246387821243419,20
